Date,Open,High,Low,Close,Volume,stock_long_name,stock_currency,stock_industry,stock_headquarter
2020-10-01 00:00:00-04:00,115.39932225021597,115.47780029450692,113.62379953158322,114.56551361083984,116120400,Apple Inc.,USD,Consumer Electronics Technology,One Apple Park Way 95014 Cupertino United States
2020-10-02 00:00:00-04:00,110.73981123091282,113.17257857154263,110.08257435293243,110.8673324584961,144712000,Apple Inc.,USD,Consumer Electronics Technology,One Apple Park Way 95014 Cupertino United States
2020-10-05 00:00:00-04:00,111.7403714352651,114.42818083906099,111.38722771983754,114.28103637695312,106243800,Apple Inc.,USD,Consumer Electronics Technology,One Apple Park Way 95014 Cupertino United States
2020-10-06 00:00:00-04:00,113.49626816350977,113.9082741442872,110.11198303707066,111.00465393066406,161498200,Apple Inc.,USD,Consumer Electronics Technology,One Apple Park Way 95014 Cupertino United States
2020-10-07 00:00:00-04:00,112.43686208203681,113.34914888664011,111.95618961009367,112.88809967041016,96849000,Apple Inc.,USD,Consumer Electronics Technology,One Apple Park Way 95014 Cupertino United States
2020-10-08 00:00:00-04:00,114.03580840060233,114.18295287599955,112.4074225119434,112.78018951416016,83477200,Apple Inc.,USD,Consumer Electronics Technology,One Apple Park Way 95014 Cupertino United States
2020-10-09 00:00:00-04:00,113.08426762126395,114.77150808284021,112.73112392074435,114.74208068847656,100506900,Apple Inc.,USD,Consumer Electronics Technology,One Apple Park Way 95014 Cupertino United States
2020-10-12 00:00:00-04:00,117.77323050395138,122.79571322855567,117.00808825928243,122.03057098388672,240226800,Apple Inc.,USD,Consumer Electronics Technology,One Apple Park Way 95014 Cupertino United States
2020-10-13 00:00:00-04:00,122.8839836219955,123.00170068067474,117.37103234521116,118.79341125488281,262330500,Apple Inc.,USD,Consumer Electronics Technology,One Apple Park Way 95014 Cupertino United States
2020-10-14 00:00:00-04:00,118.69533799243243,120.68667180427431,117.34162526166321,118.88172149658203,150712000,Apple Inc.,USD,Consumer Electronics Technology,One Apple Park Way 95014 Cupertino United States
2020-10-15 00:00:00-04:00,116.45876341018815,118.89152311977435,115.89962039367143,118.41085815429688,112559200,Apple Inc.,USD,Consumer Electronics Technology,One Apple Park Way 95014 Cupertino United States
2020-10-16 00:00:00-04:00,118.96998486104978,119.23484637597734,116.54702962695072,116.7530288696289,115393800,Apple Inc.,USD,Consumer Electronics Technology,One Apple Park Way 95014 Cupertino United States
2020-10-19 00:00:00-04:00,117.67513968688738,118.12637724052425,113.45704560684939,113.77095031738281,120639300,Apple Inc.,USD,Consumer Electronics Technology,One Apple Park Way 95014 Cupertino United States
2020-10-20 00:00:00-04:00,113.98676620423521,116.71382256289354,113.42762314350557,115.27182006835938,124423700,Apple Inc.,USD,Consumer Electronics Technology,One Apple Park Way 95014 Cupertino United States
2020-10-21 00:00:00-04:00,114.44779445584129,116.44893964427197,114.23198358001866,114.64398956298828,89946000,Apple Inc.,USD,Consumer Electronics Technology,One Apple Park Way 95014 Cupertino United States
2020-10-22 00:00:00-04:00,115.21295132280628,115.79171760743243,112.40742454830291,113.54533386230469,101988000,Apple Inc.,USD,Consumer Electronics Technology,One Apple Park Way 95014 Cupertino United States
2020-10-23 00:00:00-04:00,114.17313163445068,114.33008772407871,112.10331997797029,112.84884643554688,82572600,Apple Inc.,USD,Consumer Electronics Technology,One Apple Park Way 95014 Cupertino United States
2020-10-26 00:00:00-04:00,111.83846570860291,114.33008749588777,110.72998390903264,112.85865783691406,111850700,Apple Inc.,USD,Consumer Electronics Technology,One Apple Park Way 95014 Cupertino United States
2020-10-27 00:00:00-04:00,113.2902765429055,115.04618356934215,112.35837404942527,114.37913513183594,92276800,Apple Inc.,USD,Consumer Electronics Technology,One Apple Park Way 95014 Cupertino United States
2020-10-28 00:00:00-04:00,112.85867681271883,113.23143636139895,108.983906902146,109.08200073242188,143937800,Apple Inc.,USD,Consumer Electronics Technology,One Apple Park Way 95014 Cupertino United States
2020-10-29 00:00:00-04:00,110.22971102341442,114.70285510871662,110.06294329568225,113.12351989746094,146129200,Apple Inc.,USD,Consumer Electronics Technology,One Apple Park Way 95014 Cupertino United States
2020-10-30 00:00:00-04:00,108.94466176946574,109.85694855967047,105.66828162052171,106.78656768798828,190272600,Apple Inc.,USD,Consumer Electronics Technology,One Apple Park Way 95014 Cupertino United States
2020-11-02 00:00:00-05:00,107.03180832689571,108.57190461018514,105.27590113393475,106.69828033447266,122866900,Apple Inc.,USD,Consumer Electronics Technology,One Apple Park Way 95014 Cupertino United States
2020-11-03 00:00:00-05:00,107.57133685043831,109.3664756077531,106.65905002973632,108.33647918701172,107624400,Apple Inc.,USD,Consumer Electronics Technology,One Apple Park Way 95014 Cupertino United States
2020-11-04 00:00:00-05:00,111.96598186753751,113.38836081341994,110.21007498894515,112.76055145263672,138235500,Apple Inc.,USD,Consumer Electronics Technology,One Apple Park Way 95014 Cupertino United States
